id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8502201,Rental unit in Florence · ★4.96 · 3 bedrooms · 12 beds · 2 baths,9288345,Salvatore,,Centro Storico,43.76724,11.25789,Entire home/apt,238,2,91,2023-09-13,0.98,12,231,11,
8502234,Condo in Florence · ★4.58 · 1 bedroom · 4 beds · 1 bath,44054853,Paola,,Centro Storico,43.76812264939521,11.241876788060377,Entire home/apt,83,1,322,2023-09-10,3.33,2,310,61,
8503952,Condo in Florence · ★4.63 · 2 bedrooms · 1 bed · 1 private bath,7878792,Giulia,,Centro Storico,43.7781,11.26451,Private room,130,2,24,2023-07-24,0.27,3,316,3,
8513685,Rental unit in Florence · ★4.95 · 2 bedrooms · 8 beds · 2 baths,9288345,Salvatore,,Centro Storico,43.76676,11.25989,Entire home/apt,192,2,63,2023-07-22,0.73,12,249,18,
8513998,Rental unit in Florence · ★4.96 · 5 bedrooms · 16 beds · 4 baths,9288345,Salvatore,,Centro Storico,43.76698,11.25916,Entire home/apt,348,2,46,2023-04-27,0.53,12,225,2,
8514507,Rental unit in Florence · ★4.89 · 2 bedrooms · 2 beds · 2 baths,44834636,Claudia,,Centro Storico,43.77293,11.26309,Entire home/apt,200,2,9,2023-04-08,0.14,2,266,3,
8515681,Rental unit in Florence · ★5.0 · 3 bedrooms · 4 beds · 1.5 baths,44834636,Claudia,,Centro Storico,43.77308,11.26303,Entire home/apt,200,2,32,2023-08-28,0.36,2,276,15,
8515746,Rental unit in Florence · ★4.71 · 3 bedrooms · 5 beds · 2 baths,44839382,Paola,,Centro Storico,43.772,11.26216,Entire home/apt,240,7,36,2023-08-05,0.37,4,223,4,
8531830,Condo in Florence · ★4.73 · 1 bedroom · 3 beds · 1 shared bath,9128898,Chiara,,Rifredi,43.80312,11.23632,Private room,58,2,201,2023-08-23,2.20,2,140,28,
8536394,Cottage in Florence · ★4.91 · 1 bedroom · 1 bed · 1.5 baths,25333136,Eleonora,,Gavinana Galluzzo,43.74994,11.23307,Entire home/apt,85,3,127,2023-07-30,1.36,2,308,19,
8546167,Guesthouse in Florence · ★4.64 · 1 bedroom · 1 bed · 1 private bath,1250315,Simone,,Centro Storico,43.78178,11.25423,Private room,86,2,11,2023-06-08,0.13,4,164,1,06090360485
8560989,Rental unit in Florence · ★4.50 · 1 bedroom · 3 beds · 1 bath,39776,Carol,,Centro Storico,43.77778,11.25491,Entire home/apt,120,1,15,2023-07-01,0.17,25,337,2,
