id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
925253474340037021,Bed and breakfast in Schaerbeek · 1 bedroom · 1 bed · Half-bath,343916387,Leyla,,Schaerbeek,50.85817853951704,4.39797894468159,Private room,50,1,0,,,8,256,0,
925271062083773173,Condo in  Brussels · ★4.93 · 1 bedroom · 1 bed · 1 bath,522904437,Fadi,,Bruxelles,50.8298,4.36268,Entire home/apt,120,1,14,2023-09-12,5.92,1,9,14,
925284146580381853,Rental unit in Ixelles · 3 bedrooms · 4 beds · 3 baths,34544179,Nathalie,,Ixelles,50.81949905149029,4.358749240636826,Entire home/apt,190,2,1,2023-08-08,0.73,1,27,1,
925350936535721418,Rental unit in Bruxelles · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,151830179,Emmanuelle,,Forest,50.81960641675058,4.324061557661711,Private room,54,2,13,2023-09-07,6.19,1,99,13,
925461997086311409,Rental unit in Bruxelles · ★4.50 · 1 bedroom · 1 bed · 1 bath,521736823,Maxime,,Bruxelles,50.82225,4.36729,Entire home/apt,90,3,6,2023-08-19,2.69,1,133,6,
925703781290046700,Rental unit in Forest · ★5.0 · 1 bedroom · 1 bed · 1 bath,160627852,Julie,,Forest,50.8141667,4.335367199999999,Entire home/apt,76,2,4,2023-09-11,3.33,1,12,4,
925776956216720046,Rental unit in Anderlecht · ★4.83 · 1 bedroom · 1 bed · 1.5 baths,8077245,Manu And Jennifer,,Anderlecht,50.838680513761794,4.316214199189278,Private room,45,1,6,2023-08-27,2.81,6,6,6,
925831379453609890,Rental unit in Bruxelles · ★4.0 · 1 bedroom · 1 bed · 1 bath,464504002,Elliott,,Bruxelles,50.838949015705495,4.354039616882801,Entire home/apt,73,3,16,2023-09-16,6.86,5,37,16,
925848075988201026,Rental unit in Ixelles · 1 bedroom · 2 beds · 1 bath,491294463,Cédric,,Ixelles,50.833966402684794,4.375289768419244,Entire home/apt,75,2,1,2023-08-06,0.70,12,351,1,
925860318369582167,Rental unit in Forest · ★5.0 · 1 bedroom · 1 bed · 1 bath,2867863,Suvi,,Saint-Gilles,50.82481046540908,4.340176694411758,Entire home/apt,61,5,3,2023-08-29,1.58,1,37,3,
